"Reference","Value","Qty","NextPCB_price","NextPCB_url"
"J1,J2,J3,J4,J5,J6,J7,J8","2EDGK-5.08-02P","8","0.11828","https://www.hqonline.com/product-detail/max-maixu--mx2edgk-5-08-02p-gn01-cu-y-a-1027943030"
"J9,J10,J11,J12,J13,J14,J15,J16","2EDGR-5.08-02P","8","0.03132","https://www.hqonline.com/product-detail/max-maixu--mx2edgr-5-08-02p-gn01-cu-a-1027942969"
"J17","Conn_02x10_Odd_Even","1","0.38424","https://www.hqonline.com/product-detail/female-headers-hctl-pm254-2-10-s-8-5-1029967440"
"J18,J19","S4B-PH-SM4-TB","2","0.15819","https://www.hqonline.com/product-detail/integrated-components-jst-s4b-ph-sm4-tb-1005295362"
"J20,J21,J22","Conn_01x03","3","",""
"J23,J24","PHR-4","2","0.00887","https://www.hqonline.com/product-detail/rubber-shells-and-accessories-jst-phr-4-2500219090"
"K1,K2,K3,K4,K5,K6,K7,K8","G5NB-1A-E_DC5","8","0.88519","https://www.hqonline.com/product-detail/oumulong-omron--g5nb-1a-e-5vdc-1025587015"
"U1","ULN2803A","1","0.08449","https://www.hqonline.com/product-detail/darlington-triodes-umw-uln2803a-1012648161"
"U2","PCA9555PW","1","0.75761","https://www.hqonline.com/product-detail/enzhipu-nxp--pca9555pw-1025693950"
"U3","64900001039","1","0.4163","https://www.hqonline.com/product-detail/fuse-holders---clips---boxes-littelfuse-65600001009-1003834129"
