"Reference","Value","Datasheet","Footprint","Qty","DNP","Стоимость"
"F1,F2","Fuse","https://www.chipdip.by/product/fh-102","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","2","","1.35"
"J1,J2","USB_A","https://www.chipdip.by/product0/8004287642","Connector_USB:USB_A_TE_292303-7_Horizontal","2","","0.14"
"J3","Conn_01x03_Pin","2EDGK-5.08-03P-14-00AH, Клеммник, 3-контактный 5.08мм, угловой ","","1","","1.95"
"J4","Conn_01x08_Pin","https://www.chipdip.by/product/2edgk-5.08-08p","","1","","5.1"
"J6,J7","PinHeader_01x04_angle","https://www.belchip.by/product/?selected_product=54121","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","2","","0.17"
"J8","Conn_01x03_Socket","https://www.chipdip.by/product/2edgr-5.08-03p","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1","","0.78"
"J9","Terminal_01x08_Socket","https://www.chipdip.by/product0/8000151691","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal","1","","2.05"
"PS1","IRM-20-5","https://www.chipdip.by/product/irm-20-5-mean-well","Converter_ACDC:Converter_ACDC_MeanWell_IRM-20-xx_THT","1","","27"
"R1,R2","3.3к","https://www.chipdip.by/product0/60457","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2","","0.07"
