"reference","quantity","part_ipn","note"
"C1","1","C_4.7nF_2kV_1812","Unpolarized capacitor"
"C2,C3,C4,C5,C6,C7,C8,C9,C18,C19,C20,C21,C22,C23,C24,C25","16","C_330nF_50V_1206","Unpolarized capacitor"
"C10,C11,C12,C13,C26,C27,C28,C29","8","C_100nF_50V_1206","Unpolarized capacitor"
"C14,C15,C16,C17,C30,C31,C32,C33","8","C_1uF_50V_1206","Unpolarized capacitor"
"J1","1","2EDGR-5.08-18P","01x18"
"J2,J3,J4","3","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated"
"J5","1","FFC_10P_P1.0_50mm_reverse",""
"J6,J7,J8","3","FFC_10P_P1.0_100mm_straight",""
"R1,R2,R3,R4,R5,R6,R7,R8,R17,R18,R19,R20,R21,R22,R23,R24","16","R_1k_1206_1%","Resistor"
"R9,R10,R11,R12,R13,R14,R15,R16,R25,R26,R27,R28,R29,R30,R31,R32","16","R_562R_1206_1%","Resistor"
"U1","1","PM-ESP32C3_v0.0.2",""
"U2,U3,U4,U5,U6,U7,U8,U9","8","ISO1212",""
"U10","1","MCP23S17-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28"
"U11","1","PM-LED8_v0.0.1",""
"U12","1","PM-LED16_v0.0.1",""
