"reference","part_ipn","note","quantity"
"C1","C_4.7nF_2kV_1812","Unpolarized capacitor","1"
"D1,D2,D3,D4,D5,D6,D7,D8","BAT20J","","8"
"J1,J12","FFC_10P_P1.0_100mm_straight","","2"
"J2,J9","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated","2"
"J3,J4,J5,J6,J7,J8,J18,J20,J100","2EDGK-5.08-02P","Generic connector, single row, 01x02, script generated","9"
"J10","2EDGR-5.08-18P","01x18","1"
"J11","FFC_10P_P1.0_50mm_reverse","","1"
"K1,K2,K3,K4,K5,K6,K7,K8","G5NB-1A-E-DC5","","8"
"U1","ULN2803A","Darlington Transistor Arrays, SOIC18/DIP18","1"
"U2","MCP23S17-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28","1"
"U3,U4","PM-LED8_v0.0.1","","2"
"U5","PM-ESP32C3_v0.0.2","","1"
