"reference","quantity","part_ipn","optional","note"
"C1,C14,C15,C16,C18,C19,C21,C22,C23,C170","10","C_100nF_50V_1206","",""
"C2,C17,C20,C24","4","TAJA106M016RNJ","",""
"C3,C5,C8,C10,C25,C27,C28,C30","8","C_1nF_1206","",""
"C4,C9,C11,C13,C26,C29,C31,C33,C34,C36,C37,C39","12","C_10nF_16V_1206","",""
"C6,C7","2","C_10uF_16V_1206","1",""
"C12,C32,C35,C38","4","C_1uF_16V_1206","",""
"J1,J3","2","AFA07-S10FCC-00","",""
"J4","1","FFC_10P_P1.0_50mm_reverse","",""
"L1","1","FB_300mΩ_1kΩ@100MHz_1206","",""
"R1,R2,R3,R4,R6,R7,R8,R9","8","R_100_1206_1%","",""
"R5,R18","2","R_100k_1206_1%","",""
"R16","1","R_1.5R_1206_1%","",""
"U1","1","CA-IS3761HW","",""
"U2","1","CA-IS3105W","",""
"U3","1","AD7190","",""
"U4","1","AD7190","1","Для 3-4 датчиков"
"U5","1","PM-LED8_v0.0.2","",""
"U6","1","PM-ESP32C3_v0.0.3","",""
"XG1,XG2,XG3,XG4","4","DG141R-2.54-07P","",""
