"reference","note","optional","part_ipn","quantity"
"C1","Unpolarized capacitor","","C_4.7nF_2kV_1812_MLCC-X7R","1"
"C2,C3,C5,C6","Unpolarized capacitor","","C_22uF_50V_2220_MLCC-X7R","4"
"C9,C11","Unpolarized capacitor","","C_100nF_16V_0603_MLCC-X7R","2"
"C10,C12","Unpolarized capacitor","","C_10uF_16V_0805_MLCC-X5R","2"
"D2,D3,D4,D6,D7","Green","","XL-1606SYGC","5"
"D5","Red","","XL-1606SURC","1"
"D8,D9","Blue","","XL-1606UBC","2"
"J1","","","BS-12-A1AJ002-F","1"
"J3","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","15EDGRHC-THR-3.5-10P","1"
"J4","K7805-2000R3","","K7805-2000R3","1"
"J5","K7803-2000R3","","K7803-2000R3","1"
"J6","FFC 12pin 100mm","","FFC_12P_P1.0_100mm_straight","1"
"J7,J8,J9","Generic connector, single row, 01x10, script generated","","AFA07-S12FCC-00","3"
"J10","Generic connector, single row, 01x05, script generated","","15EDGKNH-3.5-10P","1"
"J11","","","PinHeader_01x03_P2.00_THT_straight","1"
"R1","Resistor","","R_1k_0603_1%","1"
"R2","Resistor","","R_4k7_0603_1%","1"
"R3,R4,R5,R6,R7,R8","Resistor","","R_680R_0603_1%","6"
"SP1","","","PM_LED-10-v0.0.1","1"
"U1","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V","","64900001039","1"
"U2","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE","","Keystone_5117","1"
"U4","","","CA-IS3098W","1"
"U5","","","","1"
"U6","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16","","DS3231SN","1"
"U7","","","SN74LVC2G14DBVR","1"
