"reference","quantity","optional","part_ipn","note"
"C1,C2,C3,C6,C7","5","","C_100nF_16V_0603_MLCC-X7R","Unpolarized capacitor"
"C4,C5","2","1","C_10uF_16V_0603_MLCC-X5R","Unpolarized capacitor"
"J1,J2,J4,J7","4","","AFA07-S10FCC-00","Generic connector, single row, 01x10, script generated"
"J3,J5","2","","15EDGRC-3.5-10P","Generic connector, single row, 01x09, script generated"
"J6","1","","15EDGRC-3.5-05P","Generic connector, single row, 01x09, script generated"
"R1","1","","R_10k_0603_1%","Resistor"
"RN1,RN2,RN3,RN4","4","","R_330R_0603x4_1%","4 resistor network, parallel topology, split"
"U2","1","","PM-LED8_v0.0.1",""
"U3","1","","MCP23S17-E/SO","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28"
"U4","1","","CA-IS3741HW",""
"U5","1","","CA-IS3105W",""
"U6,U7","2","","TBD62783AFG",""
"U8,U9","2","","64900001039","5x20mm Fuseholder 6.3A 250V Littelfuse 6.3A PCB Mount Fuse Holder for 5 x 20mm Cartridge Fuse, 250 V"
