part_ipn,quantity,pricing_min,pricing_max,pricing_min_all,pricing_max_all
C_1uF_50V_0603_MLCC-X7R,2,0.019,0.034,0.037,0.069
C_10uF_50V_1206_MLCC-X7R,2,0.000,0.000,0.000,0.000
C_100nF_100V_0603_MLCC-X7R,2,0.000,0.000,0.000,0.000
STWD100NYWY3F,1,0.318,0.318,0.318,0.318
U254-051T-4BH83-S1S ,1,0.024,0.024,0.024,0.024
15EDGRC-3.5-06P,1,0.000,0.000,0.000,0.000
AFA11-S12GLA-00,1,0.000,0.000,0.000,0.000
FFC_20P_P1.0_50mm_straight,1,0.053,0.053,0.053,0.053
R_10k_0603_1%,1,0.001,0.001,0.001,0.001
R_330R_0603_1%,1,0.001,0.001,0.001,0.001
R_3k3_0603_1%,2,0.001,0.001,0.002,0.002
R_10k_0603x4_1%,1,0.006,0.006,0.006,0.006
TS-1088-AR02016 ,2,0.030,0.033,0.060,0.066
ESP32-C3-WROOM-02U-N4,1,2.748,2.782,2.748,2.782
SN74LVC2G14DBVR,2,0.049,0.049,0.098,0.098
CA-IS3050G,1,1.700,1.700,1.700,1.700
Итого,0,0.000,0.000,5.045,5.117
